id,label
1,bird
2,airplane
3,horse
4,airplane
5,airplane
6,ship
7,cat
8,truck
9,truck
10,dog
11,frog
12,truck
13,deer
14,ship
15,dog
16,airplane
17,frog
18,deer
19,airplane
20,ship
21,truck
22,ship
23,frog
24,automobile
25,dog
26,automobile
27,automobile
28,frog
29,frog
30,cat
31,bird
32,horse
33,dog
34,dog
35,deer
36,frog
37,bird
38,dog
39,airplane
40,dog
41,bird
42,frog
43,truck
44,bird
45,horse
46,automobile
47,frog
48,frog
49,horse
50,automobile
51,bird
52,horse
53,bird
54,cat
55,airplane
56,ship
57,bird
58,ship
59,airplane
60,cat
61,deer
62,truck
63,frog
64,frog
65,ship
66,truck
67,ship
68,bird
69,bird
70,bird
71,truck
72,deer
73,ship
74,frog
75,deer
76,ship
77,airplane
78,dog
79,horse
80,cat
81,bird
82,deer
83,ship
84,frog
85,dog
86,frog
87,automobile
88,deer
89,horse
90,ship
91,ship
92,airplane
93,cat
94,horse
95,automobile
96,cat
97,dog
98,bird
99,truck
100,frog
101,frog
102,airplane
103,dog
104,cat
105,ship
106,bird
107,automobile
108,airplane
109,horse
110,frog
111,deer
112,cat
113,deer
114,airplane
115,truck
116,horse
117,airplane
118,bird
119,cat
120,bird
121,automobile
122,cat
123,deer
124,horse
125,ship
126,cat
127,airplane
128,dog
129,airplane
130,dog
131,ship
132,horse
133,dog
134,automobile
135,automobile
136,cat
137,dog
138,cat
139,dog
140,automobile
141,frog
142,horse
143,airplane
144,deer
145,frog
146,automobile
147,frog
148,truck
149,bird
150,frog
151,ship
152,cat
153,dog
154,truck
155,truck
156,bird
157,airplane
158,ship
159,frog
160,frog
161,dog
162,cat
163,automobile
164,dog
165,frog
166,dog
167,frog
168,frog
169,bird
170,frog
171,bird
172,truck
173,dog
174,frog
175,frog
176,ship
177,cat
178,automobile
179,horse
180,truck
181,frog
182,truck
183,deer
184,frog
185,airplane
186,horse
187,ship
188,horse
189,cat
190,airplane
191,automobile
192,airplane
193,airplane
194,frog
195,truck
196,deer
197,horse
198,cat
199,ship
200,automobile
201,cat
202,frog
203,airplane
204,horse
205,deer
206,bird
207,bird
208,bird
209,cat
210,deer
211,truck
212,horse
213,frog
214,frog
215,cat
216,frog
217,cat
218,airplane
219,ship
220,cat
221,frog
222,automobile
223,dog
224,bird
225,airplane
226,airplane
227,horse
228,bird
229,horse
230,horse
231,airplane
232,deer
233,frog
234,frog
235,horse
236,frog
237,frog
238,frog
239,cat
240,airplane
241,dog
242,bird
243,bird
244,cat
245,cat
246,deer
247,bird
248,automobile
249,horse
250,ship
251,airplane
252,airplane
253,bird
254,ship
255,ship
256,frog
257,frog
258,ship
259,bird
260,horse
261,horse
262,truck
263,truck
264,horse
265,frog
266,frog
267,airplane
268,airplane
269,cat
270,automobile
271,cat
272,ship
273,dog
274,dog
275,horse
276,dog
277,frog
278,horse
279,cat
280,ship
281,frog
282,bird
283,airplane
284,truck
285,dog
286,frog
287,ship
288,truck
289,cat
290,horse
291,ship
292,bird
293,airplane
294,cat
295,automobile
296,bird
297,frog
298,horse
299,ship
300,truck
301,dog
302,frog
303,frog
304,bird
305,bird
306,automobile
307,ship
308,deer
309,frog
310,frog
311,automobile
312,ship
313,deer
314,horse
315,airplane
316,cat
317,dog
318,dog
319,frog
320,frog
321,dog
322,dog
323,dog
324,dog
325,horse
326,airplane
327,dog
328,dog
329,deer
330,truck
331,cat
332,ship
333,airplane
334,frog
335,bird
336,deer
337,dog
338,automobile
339,cat
340,ship
341,ship
342,frog
343,dog
344,airplane
345,dog
346,frog
347,frog
348,cat
349,deer
350,truck
351,cat
352,truck
353,deer
354,cat
355,airplane
356,dog
357,airplane
358,frog
359,airplane
360,horse
361,deer
362,bird
363,deer
364,bird
365,cat
366,deer
367,horse
368,ship
369,airplane
370,horse
371,frog
372,ship
373,dog
374,cat
375,truck
376,airplane
377,frog
378,automobile
379,automobile
380,frog
381,frog
382,horse
383,airplane
384,truck
385,truck
386,cat
387,ship
388,frog
389,cat
390,cat
391,frog
392,frog
393,deer
394,frog
395,cat
396,frog
397,frog
398,frog
399,cat
400,bird
401,frog
402,cat
403,horse
404,dog
405,dog
406,airplane
407,automobile
408,truck
409,bird
410,deer
411,horse
412,cat
413,airplane
414,horse
415,automobile
416,frog
417,frog
418,bird
419,frog
420,airplane
421,cat
422,bird
423,dog
424,deer
425,ship
426,dog
427,ship
428,automobile
429,cat
430,frog
431,cat
432,deer
433,cat
434,deer
435,horse
436,frog
437,automobile
438,truck
439,automobile
440,frog
441,frog
442,bird
443,horse
444,cat
445,dog
446,cat
447,airplane
448,frog
449,airplane
450,airplane
451,bird
452,frog
453,airplane
454,airplane
455,horse
456,bird
457,airplane
458,cat
459,bird
460,horse
461,automobile
462,truck
463,horse
464,cat
465,dog
466,cat
467,bird
468,deer
469,cat
470,frog
471,cat
472,ship
473,frog
474,airplane
475,horse
476,ship
477,horse
478,horse
479,frog
480,frog
481,frog
482,ship
483,cat
484,automobile
485,cat
486,cat
487,dog
488,horse
489,airplane
490,airplane
491,truck
492,cat
493,frog
494,cat
495,dog
496,horse
497,cat
498,airplane
499,frog
500,automobile
501,ship
502,dog
503,airplane
504,frog
505,deer
506,dog
507,dog
508,automobile
509,dog
510,airplane
511,dog
512,frog
513,automobile
514,deer
515,frog
516,truck
517,truck
518,ship
519,truck
520,automobile
521,dog
522,ship
523,horse
524,automobile
525,dog
526,deer
527,airplane
528,dog
529,frog
530,airplane
531,bird
532,deer
533,bird
534,horse
535,horse
536,dog
537,airplane
538,automobile
539,truck
540,automobile
541,truck
542,airplane
543,horse
544,horse
545,dog
546,airplane
547,dog
548,truck
549,bird
550,horse
551,bird
552,bird
553,horse
554,cat
555,bird
556,cat
557,dog
558,airplane
559,dog
560,bird
561,ship
562,cat
563,frog
564,frog
565,airplane
566,bird
567,bird
568,cat
569,dog
570,horse
571,truck
572,frog
573,deer
574,ship
575,bird
576,horse
577,truck
578,deer
579,ship
580,cat
581,frog
582,airplane
583,horse
584,airplane
585,automobile
586,dog
587,horse
588,automobile
589,airplane
590,bird
591,horse
592,horse
593,horse
594,airplane
595,frog
596,ship
597,deer
598,truck
599,cat
600,deer
601,cat
602,bird
603,bird
604,frog
605,automobile
606,dog
607,airplane
608,cat
609,deer
610,truck
611,bird
612,bird
613,automobile
614,ship
615,dog
616,deer
617,automobile
618,horse
619,deer
620,horse
621,frog
622,frog
623,cat
624,airplane
625,cat
626,truck
627,airplane
628,horse
629,bird
630,dog
631,ship
632,deer
633,airplane
634,airplane
635,horse
636,automobile
637,cat
638,frog
639,ship
640,bird
641,deer
642,cat
643,automobile
644,airplane
645,dog
646,ship
647,deer
648,horse
649,frog
650,airplane
651,automobile
652,truck
653,ship
654,cat
655,deer
656,cat
657,cat
658,ship
659,bird
660,automobile
661,cat
662,ship
663,airplane
664,airplane
665,frog
666,ship
667,bird
668,automobile
669,frog
670,automobile
671,bird
672,cat
673,frog
674,airplane
675,horse
676,dog
677,dog
678,automobile
679,bird
680,truck
681,frog
682,dog
683,airplane
684,deer
685,dog
686,deer
687,dog
688,frog
689,deer
690,bird
691,dog
692,airplane
693,deer
694,airplane
695,deer
696,frog
697,frog
698,automobile
699,ship
700,bird
701,horse
702,dog
703,truck
704,dog
705,airplane
706,bird
707,cat
708,bird
709,frog
710,horse
711,frog
712,horse
713,cat
714,deer
715,deer
716,ship
717,bird
718,frog
719,cat
720,horse
721,airplane
722,frog
723,dog
724,dog
725,airplane
726,dog
727,dog
728,deer
729,airplane
730,bird
731,airplane
732,cat
733,dog
734,truck
735,frog
736,truck
737,frog
738,cat
739,frog
740,dog
741,dog
742,frog
743,airplane
744,cat
745,bird
746,bird
747,airplane
748,airplane
749,cat
750,deer
751,dog
752,ship
753,horse
754,horse
755,cat
756,horse
757,airplane
758,horse
759,cat
760,truck
761,bird
762,automobile
763,deer
764,dog
765,automobile
766,ship
767,deer
768,frog
769,bird
770,ship
771,deer
772,deer
773,frog
774,dog
775,bird
776,truck
777,airplane
778,dog
779,deer
780,horse
781,automobile
782,frog
783,truck
784,ship
785,dog
786,ship
787,airplane
788,airplane
789,dog
790,truck
791,frog
792,cat
793,frog
794,frog
795,bird
796,truck
797,horse
798,frog
799,bird
800,ship
801,bird
802,deer
803,horse
804,frog
805,airplane
806,airplane
807,frog
808,frog
809,frog
810,dog
811,truck
812,horse
813,ship
814,cat
815,bird
816,bird
817,bird
818,ship
819,cat
820,deer
821,bird
822,horse
823,airplane
824,deer
825,cat
826,airplane
827,dog
828,dog
829,horse
830,ship
831,bird
832,dog
833,bird
834,ship
835,cat
836,airplane
837,truck
838,bird
839,dog
840,airplane
841,frog
842,bird
843,dog
844,automobile
845,horse
846,cat
847,dog
848,bird
849,truck
850,frog
851,dog
852,dog
853,horse
854,bird
855,dog
856,cat
857,ship
858,frog
859,cat
860,airplane
861,truck
862,frog
863,cat
864,airplane
865,ship
866,cat
867,bird
868,cat
869,dog
870,frog
871,horse
872,horse
873,airplane
874,bird
875,ship
876,frog
877,bird
878,automobile
879,frog
880,ship
881,horse
882,frog
883,frog
884,airplane
885,cat
886,cat
887,dog
888,bird
889,dog
890,cat
891,bird
892,horse
893,ship
894,truck
895,truck
896,dog
897,bird
898,automobile
899,ship
900,dog
901,dog
902,automobile
903,horse
904,truck
905,cat
906,bird
907,bird
908,bird
909,cat
910,cat
911,dog
912,frog
913,dog
914,cat
915,truck
916,airplane
917,airplane
918,dog
919,cat
920,dog
921,cat
922,bird
923,airplane
924,ship
925,deer
926,automobile
927,automobile
928,bird
929,automobile
930,ship
931,bird
932,airplane
933,frog
934,cat
935,horse
936,ship
937,frog
938,automobile
939,automobile
940,airplane
941,frog
942,frog
943,ship
944,airplane
945,horse
946,dog
947,cat
948,ship
949,horse
950,deer
951,dog
952,airplane
953,frog
954,dog
955,truck
956,truck
957,airplane
958,cat
959,automobile
960,ship
961,frog
962,frog
963,frog
964,ship
965,frog
966,ship
967,cat
968,bird
969,cat
970,truck
971,airplane
972,ship
973,cat
974,frog
975,horse
976,deer
977,bird
978,automobile
979,ship
980,bird
981,bird
982,dog
983,airplane
984,airplane
985,frog
986,automobile
987,dog
988,cat
989,airplane
990,cat
991,automobile
992,ship
993,bird
994,ship
995,bird
996,ship
997,truck
998,ship
999,airplane
1000,horse
1001,dog
1002,airplane
1003,ship
1004,bird
1005,frog
1006,cat
1007,ship
1008,dog
1009,airplane
1010,cat
1011,frog
1012,bird
1013,airplane
1014,airplane
1015,bird
1016,horse
1017,automobile
1018,bird
1019,dog
1020,automobile
1021,horse
1022,frog
1023,deer
1024,truck
1025,cat
1026,cat
1027,frog
1028,horse
1029,dog
1030,dog
1031,horse
1032,bird
1033,frog
1034,cat
1035,cat
1036,frog
1037,dog
1038,automobile
1039,dog
1040,airplane
1041,truck
1042,ship
1043,cat
1044,frog
1045,frog
1046,airplane
1047,ship
1048,horse
1049,cat
1050,airplane
1051,frog
1052,bird
1053,dog
1054,frog
