id,label
1,automobile
2,automobile
3,automobile
4,automobile
5,automobile
6,automobile
7,automobile
8,automobile
9,automobile
10,automobile
11,automobile
12,automobile
13,automobile
14,automobile
15,automobile
16,automobile
17,automobile
18,automobile
19,automobile
20,automobile
21,automobile
22,automobile
23,automobile
24,automobile
25,automobile
26,automobile
27,automobile
28,automobile
29,automobile
30,automobile
31,automobile
32,automobile
33,automobile
34,automobile
35,automobile
36,automobile
37,automobile
38,automobile
39,automobile
40,automobile
41,automobile
42,automobile
43,automobile
44,automobile
45,automobile
46,automobile
47,automobile
48,automobile
49,automobile
50,automobile
